Dog Name,Adaptability,Adapts Well To Apartment Living,Good For Novice Dog Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All-around friendliness,Best Family Dogs,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Exercise needs,High Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Officially Recognized,Temperament,Height,Weight,Life Expectancy,FeaturedImageURL,AdditionalImageURLs
Rhodesian Ridgeback,3,1,2,4,2,3,3,4,5,4,4,3,4,4,1,5,4,3,4,3,2,4,3,5,1,5,5,4,4,5,5,Yes,dignified / affectionate / even-tempered,25-27 inches (male),85 pounds (male),10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rhodesian Ridgeback/Rhodesian Ridgeback-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rhodesian Ridgeback/Rhodesian Ridgeback-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rhodesian Ridgeback/Rhodesian Ridgeback-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rhodesian Ridgeback/Rhodesian Ridgeback-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rhodesian Ridgeback/Rhodesian Ridgeback-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rhodesian Ridgeback/Rhodesian Ridgeback-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rhodesian Ridgeback/Rhodesian Ridgeback-6.jpg
Romanian Mioritic Shepherd Dog,2,1,1,3,2,5,2,4,4,5,4,2,4,3,3,4,4,5,5,3,2,4,3,3,3,5,3,3,2,3,4,Yes,independent / loyal / confident guardian,27-29 inches (males),100-130 lbs,12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Romanian Mioritic Shepherd Dog/Romanian Mioritic Shepherd Dog-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Romanian Mioritic Shepherd Dog/Romanian Mioritic Shepherd Dog-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Romanian Mioritic Shepherd Dog/Romanian Mioritic Shepherd Dog-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Romanian Mioritic Shepherd Dog/Romanian Mioritic Shepherd Dog-3.jpg
Rottador,3,3,2,5,1,4,3,4,5,4,3,3,4,4,4,5,2,5,4,4,4,5,4,3,4,3,5,5,5,5,5,No,"Loyal, Intelligent, Friendly",22-25 inches,60-80 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rottador/Rottador-featured.jpg,
Rottle,3,4,3,3,3,3,3,4,5,4,3,3,3,2,2,4,4,3,3,3,5,5,3,3,2,2,4,4,3,4,5,No,"Friendly, Intelligent, Loyal",22-28 inches,50-80 pounds,10-13 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rottle/Rottle-featured.jpg,
Rottweiler,2,2,1,4,1,2,3,4,5,4,2,4,4,4,4,5,2,5,3,4,4,5,3,4,4,2,4,4,4,4,5,Yes,loyal / loving / confident guardian,24-27 inches (male),95-135 pounds (male),9-10 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rottweiler/Rottweiler-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rottweiler/Rottweiler-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rottweiler/Rottweiler-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rottweiler/Rottweiler-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Rottweiler/Rottweiler-4.jpg
Russian Toy,3,3,4,2,4,2,3,4,5,5,4,3,2,2,1,4,3,3,1,4,5,4,2,5,4,3,4,4,3,4,4,Yes,loyal / charming / smart,8-11 inches,Up to 6.5 pounds,12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Russian Toy/Russian Toy-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Russian Toy/Russian Toy-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Russian Toy/Russian Toy-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Russian Toy/Russian Toy-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Russian Toy/Russian Toy-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Russian Toy/Russian Toy-5.jpg
Russian Tsvetnaya Bolonka,4,5,3,4,4,2,4,5,5,5,5,5,3,1,3,3,5,3,1,3,2,4,3,3,2,3,4,3,3,3,5,Yes,playful / charming / inquisitive,11 inches,6 - 9 pounds,14-20 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Russian Tsvetnaya Bolonka/Russian Tsvetnaya Bolonka-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Russian Tsvetnaya Bolonka/Russian Tsvetnaya Bolonka-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Russian Tsvetnaya Bolonka/Russian Tsvetnaya Bolonka-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Russian Tsvetnaya Bolonka/Russian Tsvetnaya Bolonka-3.jpg
Saint Berdoodle,3,2,5,3,2,4,3,5,5,5,5,4,3,3,1,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,No,"Friendly, Gentle, Intelligent",24-30 inches,90-140 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Saint Berdoodle/Saint Berdoodle-featured.jpg,
Saint Bernard,3,3,2,4,1,5,1,5,5,5,5,5,4,4,5,2,2,4,5,2,2,4,3,1,1,2,3,3,2,2,4,Yes,playful / charming / inquisitive,28-30 inches (males),140-180 pounds (male),8-10 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Saint Bernard/Saint Bernard-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Saint Bernard/Saint Bernard-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Saint Bernard/Saint Bernard-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Saint Bernard/Saint Bernard-3.jpg
Sakhalin Husky,3,2,2,4,1,5,3,5,5,5,5,5,3,4,3,2,4,2,3,4,2,3,4,3,5,5,5,5,3,5,5,No,"Loyal, Energetic, Intelligent",21-24 inches (male),45-65 pounds (male),12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sakhalin Husky/Sakhalin Husky-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sakhalin Husky/Sakhalin Husky-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sakhalin Husky/Sakhalin Husky-2.jpg
Saluki,2,1,2,5,1,2,3,4,5,4,4,1,3,2,1,4,4,1,4,4,4,4,4,5,1,5,4,5,2,5,5,Yes,dignified / gentle / independent-minded,23-28 inches (male),40-65 pounds,10-17 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Saluki/Saluki-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Saluki/Saluki-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Saluki/Saluki-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Saluki/Saluki-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Saluki/Saluki-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Saluki/Saluki-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Saluki/Saluki-6.jpg
Samoyed,3,2,2,4,2,5,1,5,5,5,5,5,3,5,2,1,3,4,3,4,3,3,3,5,3,4,4,5,2,5,5,Yes,friendly / gentle / adaptable,21-23.5 inches (male),45-65 pounds (male),12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Samoyed/Samoyed-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Samoyed/Samoyed-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Samoyed/Samoyed-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Samoyed/Samoyed-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Samoyed/Samoyed-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Samoyed/Samoyed-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Samoyed/Samoyed-6.jpg
Samusky,3,2,3,3,2,5,3,4,4,5,4,4,3,4,2,2,3,4,4,3,3,5,3,3,2,4,4,5,3,4,5,No,"Friendly, Energetic, Intelligent",20-24 inches,40-65 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Samusky/Samusky-featured.jpg,
Schapendoes,4,3,3,4,5,5,3,4,4,4,5,3,4,3,3,4,5,3,4,3,5,4,3,2,2,2,5,5,4,5,4,Yes,friendly / watchful / lively,16-20 inches,26-55 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schapendoes/Schapendoes-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schapendoes/Schapendoes-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schapendoes/Schapendoes-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schapendoes/Schapendoes-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schapendoes/Schapendoes-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schapendoes/Schapendoes-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schapendoes/Schapendoes-6.jpg
Schipperke,3,4,2,4,3,3,2,3,4,5,2,2,3,3,1,5,4,5,1,3,2,4,3,2,4,5,5,5,3,5,5,Yes,alert / curious / confident,11-13 inches (male),10-16 pounds,12-16 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schipperke/Schipperke-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schipperke/Schipperke-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schipperke/Schipperke-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schipperke/Schipperke-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schipperke/Schipperke-4.jpg
Schnocker,4,5,4,4,2,3,3,4,4,5,4,4,3,2,2,3,3,4,2,3,3,4,3,3,3,3,4,4,2,4,5,No,"Friendly, Energetic, Intelligent",12-18 inches,20-40 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schnocker/Schnocker-featured.jpg,
Schnoodle,3,3,5,4,2,2,4,4,4,5,3,3,3,2,1,4,3,4,4,3,4,5,3,3,2,3,4,4,3,4,4,No,"Friendly, Intelligent, Playful",10-20 inches,10-60 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Schnoodle/Schnoodle-featured.jpg,
Scoodle,3,3,3,3,3,4,2,4,4,4,5,3,2,3,2,2,4,2,1,3,3,4,1,4,4,3,4,4,3,4,4,No,"Friendly, Intelligent, Playful",12-15 inches,10-20 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scoodle/Scoodle-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scoodle/Scoodle-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scoodle/Scoodle-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scoodle/Scoodle-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scoodle/Scoodle-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scoodle/Scoodle-5.jpg
Scottish Deerhound,3,1,1,3,2,4,4,4,5,4,2,5,3,5,1,2,3,4,5,3,2,3,4,5,1,4,5,5,5,5,5,Yes,dignified / gentle / polite,30-32 inches (male),85-110 pounds (male),8-11 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scottish Deerhound/Scottish Deerhound-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scottish Deerhound/Scottish Deerhound-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scottish Deerhound/Scottish Deerhound-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scottish Deerhound/Scottish Deerhound-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scottish Deerhound/Scottish Deerhound-4.jpg
Scottish Terrier,3,4,2,4,3,4,3,4,5,4,4,4,2,2,1,2,4,3,2,3,1,4,3,3,4,5,4,4,4,4,4,Yes,independent / confident / spirited,10 inches,19-22 pounds (male),12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scottish Terrier/Scottish Terrier-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scottish Terrier/Scottish Terrier-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scottish Terrier/Scottish Terrier-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scottish Terrier/Scottish Terrier-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scottish Terrier/Scottish Terrier-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scottish Terrier/Scottish Terrier-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Scottish Terrier/Scottish Terrier-6.jpg
Sealyham Terrier,4,4,4,4,2,4,3,4,4,4,4,3,3,4,3,1,5,3,2,3,3,4,2,2,4,3,4,4,2,4,4,Yes,alert / outgoing / sense of humor,10.5 inches,23-24 pounds (male),12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sealyham Terrier/Sealyham Terrier-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sealyham Terrier/Sealyham Terrier-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sealyham Terrier/Sealyham Terrier-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sealyham Terrier/Sealyham Terrier-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sealyham Terrier/Sealyham Terrier-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sealyham Terrier/Sealyham Terrier-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sealyham Terrier/Sealyham Terrier-6.jpg
Segugio Italiano,2,1,1,3,1,3,3,4,4,5,4,2,3,2,2,4,4,4,4,4,3,4,4,5,4,4,4,5,3,5,4,Yes,intelligent / friendly / eager to please,19.5 - 24.5 inches males,39 - 62 lbs,11-13 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Segugio Italiano/Segugio Italiano-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Segugio Italiano/Segugio Italiano-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Segugio Italiano/Segugio Italiano-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Segugio Italiano/Segugio Italiano-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Segugio Italiano/Segugio Italiano-4.jpg
Sheepadoodle,4,4,4,5,2,4,3,5,5,5,4,4,3,1,1,3,4,4,4,3,3,5,3,1,2,2,4,4,3,4,5,No,"Friendly, Intelligent, Playful",18-24 inches,45-80 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sheepadoodle/Sheepadoodle-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sheepadoodle/Sheepadoodle-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sheepadoodle/Sheepadoodle-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sheepadoodle/Sheepadoodle-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sheepadoodle/Sheepadoodle-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sheepadoodle/Sheepadoodle-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Sheepadoodle/Sheepadoodle-6.jpg
Shepadoodle,3,2,2,4,2,3,3,4,5,4,4,3,3,3,1,3,3,3,3,3,3,5,1,4,3,3,4,4,4,4,4,No,"Intelligent, Friendly, Loyal",18-24 inches,50-90 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shepadoodle/Shepadoodle-featured.jpg,
Shepsky,3,1,1,4,2,4,3,4,5,4,3,4,3,4,2,3,4,2,4,4,4,5,4,4,3,2,5,5,4,5,5,No,"Loyal, Intelligent, Energetic",20-25 inches,45-60 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shepsky/Shepsky-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shepsky/Shepsky-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shepsky/Shepsky-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shepsky/Shepsky-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shepsky/Shepsky-4.jpg
Shetland Sheepdog,3,2,3,5,2,4,3,5,5,5,5,5,3,3,1,2,4,3,2,4,5,5,3,3,5,2,4,4,2,4,5,Yes,playful / energetic / bright,13-16 inches,15-25 pounds,12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shetland Sheepdog/Shetland Sheepdog-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shetland Sheepdog/Shetland Sheepdog-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shetland Sheepdog/Shetland Sheepdog-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shetland Sheepdog/Shetland Sheepdog-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shetland Sheepdog/Shetland Sheepdog-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shetland Sheepdog/Shetland Sheepdog-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shetland Sheepdog/Shetland Sheepdog-6.jpg
Shiba Inu,4,5,4,3,5,4,3,3,4,3,3,3,3,4,1,4,3,2,2,4,2,4,4,3,4,4,3,4,2,3,3,Yes,alert / active / attentive,14.5-16.5 inches (male),23 pounds (male),13-16 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shiba Inu/Shiba Inu-featured.jpg,
Shichon,3,5,4,4,1,2,2,5,5,5,4,4,3,1,1,4,4,3,2,2,3,4,1,1,2,1,4,4,2,3,5,No,"Affectionate, Playful, Friendly",9-12 inches,10-15 pounds,12-16 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shichon/Shichon-featured.jpg,
Shih Tzu,3,5,5,3,3,3,1,5,5,4,4,5,2,3,1,1,3,4,1,3,3,4,4,4,2,2,3,2,3,2,4,Yes,playful / affectionate / outgoing,9-10.5 inches,9-16 pounds,10-18 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shih Tzu/Shih Tzu-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shih Tzu/Shih Tzu-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shih Tzu/Shih Tzu-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shih Tzu/Shih Tzu-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shih Tzu/Shih Tzu-4.jpg
Shih Poo,3,5,2,4,2,3,2,4,5,3,2,4,2,1,1,2,3,4,1,3,2,4,3,2,2,2,3,3,1,2,4,No,"Affectionate, Friendly, Intelligent",8-15 inches,8-18 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shih Poo/Shih Poo-featured.jpg,
Shikoku,3,3,2,3,3,5,4,3,4,3,2,2,4,4,1,4,5,4,3,3,2,4,2,4,2,3,3,3,3,3,2,Yes,alert / energetic / enthusiastic,17-22 inches,35-55 pounds,10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shikoku/Shikoku-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shikoku/Shikoku-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shikoku/Shikoku-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shikoku/Shikoku-3.jpg
Shiloh Shepherd,3,1,2,4,2,5,4,5,5,5,4,5,4,4,3,4,3,4,5,4,5,5,4,1,4,3,4,4,4,4,5,No,"Loyal, Intelligent, Protective",24-30 inches (male),80-120 pounds (male),10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shiloh Shepherd/Shiloh Shepherd-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shiloh Shepherd/Shiloh Shepherd-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shiloh Shepherd/Shiloh Shepherd-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shiloh Shepherd/Shiloh Shepherd-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shiloh Shepherd/Shiloh Shepherd-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shiloh Shepherd/Shiloh Shepherd-5.jpg
Shiranian,3,4,4,4,2,2,1,4,5,3,3,4,2,2,2,2,2,3,2,2,2,4,1,1,2,2,3,2,3,2,4,No,"Affectionate, Playful, Intelligent",10-12 inches,4-16 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shiranian/Shiranian-featured.jpg,
Shollie,3,1,2,3,2,4,4,3,4,4,3,2,3,4,2,3,3,4,4,4,4,4,3,3,3,4,4,5,4,4,4,No,"Intelligent, Loyal, Energetic, Protective",20-26 inches,50-80 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shollie/Shollie-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shollie/Shollie-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shollie/Shollie-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shollie/Shollie-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shollie/Shollie-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shollie/Shollie-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shollie/Shollie-6.jpg
Shorkie,3,5,3,3,1,2,2,3,4,3,2,3,2,2,1,4,2,3,1,3,2,3,2,4,4,3,4,4,3,2,5,No,"Affectionate, Lively, Intelligent",8-11 inches,4-10 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shorkie/Shorkie-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shorkie/Shorkie-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shorkie/Shorkie-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shorkie/Shorkie-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Shorkie/Shorkie-4.jpg
Siberian Husky,3,2,1,4,1,5,3,5,5,5,5,5,3,4,3,2,4,2,3,4,2,3,4,3,5,5,5,5,3,5,5,Yes,Loyal / Outgoing / mischievous,21-23.5 inches (male),45-60 pounds (male),12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Siberian Husky/Siberian Husky-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Siberian Husky/Siberian Husky-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Siberian Husky/Siberian Husky-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Siberian Husky/Siberian Husky-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Siberian Husky/Siberian Husky-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Siberian Husky/Siberian Husky-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Siberian Husky/Siberian Husky-6.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Siberian Husky/Siberian Husky-7.jpg
Silken Windhound,4,4,4,4,2,4,4,4,5,4,3,4,3,2,2,4,4,2,3,4,5,4,3,5,1,4,4,4,2,4,5,No,"Affectionate, Gentle, Intelligent",18-24 inches,35-65 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Silken Windhound/Silken Windhound-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Silken Windhound/Silken Windhound-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Silken Windhound/Silken Windhound-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Silken Windhound/Silken Windhound-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Silken Windhound/Silken Windhound-4.jpg
